construct,fish,filename,stack_mean,mip_mean,signal_mean,coverage,total,cv,n_slices
14a-ef1a,fish01,14a_ef1a_sec61b-.nd2,520.6162878564688,812.468418083191,1172.6583337100947,0.6074981689453125,212983720.99,0.6088244323164831,13
14a-ef1a,fish02,14a_ef1a_sec61b-001.nd2,468.32311254061193,721.5929717636109,1073.286852436838,0.5808525085449219,189161267.99,0.6474779539608154,13
14a-ef1a,fish03,14a_ef1a_sec61b-002.nd2,532.5744892971333,828.897014465332,1266.9700135923354,0.5781402587890625,217290378.95999998,0.6980670086384254,13
14a-ef1a,fish04,14a_ef1a_sec61b-003.nd2,557.5822999895537,876.0318450546265,1243.3593622573408,0.62567138671875,229646491.99,0.5945062684860035,13
14a-ef1a,fish05,14a_ef1a_sec61b-004.nd2,430.80690266829276,696.3202876663208,1017.069717010878,0.6291122436523438,182536185.49,0.6538145659125671,13
14a-ef1a,fish06,14a_ef1a_sec61b-005.nd2,489.4588286707952,785.8922500228882,1124.256576704019,0.6175308227539062,206016937.99,0.6306239739008547,13
14a-ef1a,fish07,14a_ef1a_sec61b-006.nd2,448.21204688438996,691.7503507232666,1047.0617443972567,0.5901374816894531,181338203.94,0.6816041430385259,13
14a-ef1a,fish08,14a_ef1a_sec61b-007.nd2,478.40705955798813,738.6361230468749,1056.2503657134687,0.6404533386230469,193629027.83999997,0.6629057187773153,13
14a-ef1a,fish09,14a_ef1a_sec61b-008.nd2,496.913316515409,804.250343284607,1127.6649709629469,0.6338768005371094,210829401.99,0.609619812723901,13
14a-ef1a,fish10,14a_ef1a_sec61b-009.nd2,482.34887070582465,743.6929092025757,1103.671369568427,0.5942497253417969,194954633.99,0.6692386384327997,13
14a-ef1a,fish11,14a_ef1a_sec61b-010.nd2,472.48032081604003,713.7853049850464,1001.1772040641014,0.6439018249511719,187114534.99,0.6125129844044775,13
14a-ef1a,fish12,14a_ef1a_sec61b-011.nd2,432.90120564093957,666.9032096481324,989.3177023792044,0.5975685119628906,174824674.99,0.662169959846053,13
14a-ef1a,fish13,p14a_sec61b_ef1a_male2_001.nd2,471.9550266647339,695.6744804000855,942.4120716630292,0.6519737243652344,182366890.99,0.5378337583296382,13
14a-ef1a,fish14,p14a_sec61b_ef1a_male2_002.nd2,596.7431003130399,900.677288017273,1228.089181011116,0.6544227600097656,236107146.99,0.5582580667756958,13
14a-ef1a,fish15,p14a_sec61b_ef1a_male2_003.nd2,418.80134180802565,647.4482802963257,947.0549489505954,0.5705299377441406,169724681.99,0.6010195078176546,13
14a-ef1a,fish16,p14a_sec61b_ef1a_male2_004.nd2,409.88948921497047,634.388771018982,957.9268859797916,0.5734748840332031,166301209.99,0.6512217134639889,13
14a-ef1a,fish17,p14a_sec61b_ef1a_male2_005.nd2,488.35504181201645,749.1805152511596,1110.0009952071048,0.5738487243652344,196393176.98999998,0.6250615923743079,13
